Listing_num,Address,City,House_type,Price,Estimated_price,Estimated_on,Bedroom_num,Washroom_num,Parking_num,Tax,Maintenance,Building_age,Size,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Property_style,Exposure,Description
C4902836,Unit 201 - 33 Delisle Ave,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,149,000","$1,120,359",As of 2020-09-09,1+1 Bedrooms,2 Bathrooms,2 Garage,"$ 4,672",$856/month,"water,heat",-,2020-09-08,2020-09-08,"$3,027",1.69%,Yonge St/St Clair Ave W,Apartment,Se,"The Condo Unit You Have Been Waiting For!! 1035Sf In The Sophisticated And Luxurious 33 Delisle, This Unit Boasts 2 Parking Spaces, Large Master W/ Stunning Ensuite, Lrg Windows, Private Balcony O/Looking Quiet Courtyard & Lots Of Space To Host. Den Is Perfect Space For A Home Office! Spectacular Building W/ All The Amenities Including 24H Concierge, Pool, Gym, Courtyard, Party Room And Lots Of Guest Parking. Located In The Heart Of Yonge And St Clair!
Steps To Subway, Shops, Restaurants, Tennis Clubs And Groceries. Extras: Fridge, Thermador Stove, Washer, Dryer, Miele D/W, All Window Coverings, All Elfs."
C4893274,Unit 101 - 12 Woodlawn Ave W,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,650,000","$1,652,053",As of 2020-09-10,2 Bedrooms,3 Bathrooms,1 Garage,"$ 4,618",$1208/month,"water,heat",16-30,2020-09-01,2020-09-10,"$3,846",1.46%,Yonge/S Of St Clair,Apartment,Nw,"Stunning! Ultra-Bright, Huge Private Terrace, New Kitchen, Maple Hardwood Throughout, Beautiful Light Fixtures & Window Coverings. Perfect For Urban Professionals Or Downsizers. New Kitchen, Quartz C/Ts. Reno'd Baths. Heated Flrs. Cdn Maple Hardwood. Built-In Home Ofc W/Walkout To Terrace. Led Lighting, B/I Fireplace, S/Sound Ceiling Speakers. Copper/Cherrywood Stair Rail. Garden Irrigation Sys. Ample In-Suite Storage + Locker Rm. Move-In And Enjoy!
All Elfs. Highend S/S Fridge, Dishwasher, Gas Oven, Hood-Fan. Bosch Wash/Dryer, All Window Coverings, Wall Mounted Tvs, And Built-Ins Included. Hvac 2017. Incl 1 Parking 1 Locker."
C4882870,Unit 801 - 111 St. Clair Ave W,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,484,400","$1,389,102",As of 2020-08-24,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 4,940",$1000/month,-,1200-1399 feet²,2020-08-24,2020-08-24,"$3,517",1.62%,83 Woodbridge Avenue,Apartment,N,"Stunning 1,200 Sq Ft, 2 Br+Den, 2 Full Bathrooms, 14' Ceilings, 2-Storey Loft At Imperial Plaza! First Class Amenities Including Indoor Pool, Gym Squash Court, Golf Simulator. Parking & Locker Available. Longos And Lcbo In Building.
Parking & Locker Available. Longos And Lcbo In Building. => More Info=> Click Below=> 'More Information' Or 'Multimedia' On Mobile."
C4893462,Unit 1808 - 111 St Clair Ave W,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,739,000","$1,774,367",As of 2020-09-01,3+1 Bedrooms,3 Bathrooms,1 Garage,"$ 7,283",$1188/month,0-5,1400-1599 feet²,2020-09-01,2020-09-01,"$3,791",1.19%,Between Yonge St And Avenue Rd,Apartment,Se,"An Enviable Location In The Iconic Imperial Plaza. The Only 3 Bedroom Corner Suite. Custom Designed By The Developer's President, Feels Like A Bungalow In The Sky With Smart Split Layout. Sun Filled South And East Exposure 1535 Sq Ft With 10 Ft Ceilings. Feels Much Larger. South Facing With A Great View Of The Cn Tower, The Master Retreat With Large Den/Walk-In Links To A Massive 5 Piece Ensuite With 6 Ft Soaker, Large Rain Shower And Floating Glass Vanities.
This 3+1 3 Bath Is Steps To The Badminton And Racquet Club And Subway. Longos Market, Starbucks And Lcbo Downstairs. Premier Luxury And Amenities In Deer Park. Oh The Convenience! Brilliant Choice For Downsizers. 2 Lockers And 1 Parking."
C4895350,Unit 330 - 40 Oaklands Ave,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,350,000","$1,403,803",As of 2020-09-03,2 Bedrooms,3 Bathrooms,1 Garage,"$ 5,574",$1905/month,water,16-30,2020-09-02,2020-09-02,"$3,958",1.13%,Avenue Rd + St.Clair,Apartment,W,"""The Oaklands"" Priced To Sell! Approx 1781 Sq Ft, 2 Bedroom, 3 Washrooms On 2 Levels, West Exposure. Sun-Filled Living + Dining Room, Open Plan, Master Bedroom + Marble Ensuite, 2Pc Powder Room On Main Floor, Custom Blinds, Central Vacuum, Elf + Track Lights. Walking Distance To Yorkville, Yonge St. & Ttc.
Maint Fee Includes Cable, High-Speed Internet, Subzero Fridge, Stove Top, Miele Wall Oven, Dw, B/I Microwave, W/D Fireplace Is"
C4850607,Unit 318 - 40 Oaklands Ave,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,629,000","$1,543,776",As of 2020-09-10,2 Bedrooms,3 Bathrooms,1 Garage,"$ 4,792",$1764/month,water,-,2020-07-30,2020-09-10,"$3,846",1.12%,Avenue Rd And Dupont,2-Storey,W,"Outstanding Contemporary Design! Super Spacious, Sun-Drenched,2-Level Residence At The Oaklands, Designer Reno'd, Premium Finishes!!Fab O/Concept Plan Great For Entertaining, Room For The Baby Grand! New, Light-Stain, (Gorgeous) H/Wood Flrs!!!, Beautifully Re- Designed F/Place, Stunning New Glass Enclosure On Staircase,W/W Windows(Tree-Top Views)9Ft+ Ceiling On Main, 3Reno'd Baths,Reno'd Kitch.,X-Lrg.Master,Spa-Inspired Ensuite,Tons Of Closet Space
Conveniently Located, Easy Walk To Yorkville , Summerhill & Yonge, Whole Foods/Lcbo! Extras Include:(All S/S Appliances)Fridge,Stove(Induction),Meile Bi/Dw, B/I Microwave,X-Large Lg F/Loading W&D, F/A/E Furnace,Cac,All Elfs.,."
C4889561,Unit 306 - 40 Oaklands Ave,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,529,000","$1,524,304",As of 2020-09-03,2 Bedrooms,3 Bathrooms,1 Garage,"$ 4,989",$1850/month,water,16-30,2020-08-28,2020-09-03,"$3,875",1.06%,Avenue/St Clair,2-Storey,W,"Beautiful Renovated Unit In The Coveted Summerhill Neighbouhood. This 2 Bedroom, 2-Storey, 1722Sf Unit Offers Large Principal Rooms, An Open Concept Living/Dining Space, Renovated Kitchen & Baths And Hardwood Floors Throughout. The Second Level Offers A Master Retreat W/ Spa-Like Ensuite And Ample Closet Space. Generously Sized Second Bedroom With W/I Closet. Includes One Parking. Steps To Summerhill, Yorkville, Shops, Restaurants & Ttc.
Stainless Steel Fridge, Dishwasher, Built-In Microwave & Stove, Lg Washer & Dryer, Central Vacuum & All Equipment, All Bathroom Mirrors, All Built-In Shelving & Organizers, All Electric Light Fixtures & Window Coverings"
C4880311,Unit 906 - 33 Delisle Ave,Yonge-St. Clair - Toronto,Condo Apt,"$ 2,750,000","$2,689,600",As of 2020-09-11,3+2 Bedrooms,3 Bathrooms,2 Garage,"$ 12,967",$2002/month,"water,heat",16-30,2020-08-21,2020-09-11,"$5,422",0.89%,Yonge & St. Clair,Apartment,N,"Rarely Available In Sought After Building; Bright, Spacious And Beautifully Appointed; Large Rooms; Home Has A Wonderful Flow - Perfect For Entertaining; Ralph Neal Decor; Custom Cherrywood Built-Ins In Library (2nd Bedroom); Custom Kitchen; Split Bedroom Plan; Many Sitting Areas; French Doors; Pot Lighting T/O; 9' Ceilings; 4 Juliettes; Lots Of Closets And Storage; 2 Pkg 1 Locker.
Miele Dishwasher; Kitchenaid 2-Door Fridge; Ge B/I Microwave; Thermador Stovetop; Thermador B/I Wall Oven; Maytag Washer/Dryer; Elfs"
C4885203,Unit 1818 - 111 St Clair Ave W,Yonge-St. Clair - Toronto,Condo Apt,"$ 2,138,000","$2,119,547",As of 2020-09-09,2 Bedrooms,3 Bathrooms,1 Garage,"$ 7,796",$1264/month,-,1400-1599 feet²,2020-08-25,2020-09-09,"$3,661",0.86%,St Clair & Yonge St /Avenue Rd,Apartment,Sw,"Unparalleled Luxury At Imperial Plaza.Unobstructed, Breathtaking,Sought After South Exposure.Mesmerizing Views In Almost Every Rm. Wide 1500+Sf S/W Corner Suite. Upgraded&Custom Designed W/Rare South Facing Balcony. Open Concept Lr/Dr,Modern Kitchen W/Breakfast Bar,All W/Mind Blowing Views,Day&Night. Thoughtful Split Floor Plan=privacy. Master W/5 Pc Spa/Ensuite,2nd Br W/3Pc Ensuite, Both W/Bespoke Walk In Closets.Wood Floors,10Ft Ceilings, Recessed Lighting
You'll Never Want To Leave This View. Breath In Your Very Own Majestic Picture Show Of Iconic Toronto Views 365 Days Of The Year,From Inside And Out.Impeccable Amenities.High End Appliances.Mere Steps To Longos, Lcbo,Sbux, Yonge St"
C4884148,Unit 910 - 111 St Clair Ave W,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,649,000","$1,656,486",As of 2020-08-25,2 Bedrooms,3 Bathrooms,1 Garage,"$ 6,915",$1219/month,6-10,1400-1599 feet²,2020-08-25,2020-08-25,"$3,791",1.27%,Avenue And St Clair,Apartment,S,"Amazing Unit In Phenomenal Building. 2 Level Loft Unit Located On Prestigious St. Clair Ave. W. Full Renovated With Large Kitchen, & Built-In Appliances. Gorgeous Living And Dining Area With 20 Ft High Ceilings With Powder Room On Main. Stunning Master Bedroom With Large Walk-In Closet And Stunning Ensuite Bathroom. 2nd Bedroom With Its Own Walk-In Closest & Ensuite Bathroom. Breathtaking Views Of The Downtown Core. What Imperial Living Is All About.
Existing Fridge, Range, Stove, Dishwasher, Stackable Washer And Dry, Built-In Sonos Speakers Throughout, All Electric Light Fixtures And Window Coverings."
C4850480,Unit 806 - 63 St Clair Ave W,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,750,000","$1,652,874",As of 2020-09-11,2 Bedrooms,2 Bathrooms,1 Garage,"$ 4,578",$1451/month,"water,hydro,heat",31-50,2020-07-30,2020-07-30,"$2,885",0.63%,Yonge St And St Clair Ave. W,Apartment,E,"**Completely Renovated Unit In Highly Desirable Prestigious "" Granite Place"" Gem Located In Vibrant Yonge/St Clair Corridor**Reimagine & Redesigned , Creating A Bright & Airy Atmosphere Open Concept Unit With Wrap-Around Floor-To -Ceiling Windows And Spacious Entertaining Size Balcony**Sophisticated High-End Custom Finishes Inc: Engineering Fl/Crown Moldings/Flat Ceilings/Pot Lights/Open Concept Eat-In Kitchen W Breakfast Center Island/Lr B/In Wall Unit**
**Custom Made Drapes Throughout/All Electrical Light Fixtures And Pot Lights/Custom B/In Entertainment Unit In Living Room/All Custom Closet Organizers/Brand New High End Stainless Steel B/In Kitchen Appliances/Custom Finishes**"
C4853271,Unit Ph1004 - 1 Deer Park Cres,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,695,000","$1,652,613",As of 2020-08-06,2 Bedrooms,3 Bathrooms,2 Garage,"$ 5,391",$1732/month,"water,heat",-,2020-08-01,2020-08-06,"$2,300",-0.03%,Yonge St & St. Clair Ave,2-Storey,Nw,"Rarely Offered 2 Storey Executive Penthouse Suite In Private Boutique Building. Over $350K Spent On Quality Custom Designer Renovation (Ask La). Steps From Longos, Lcbo, Starbucks, New Restaurants Arthur And Buca, Ttc At Front Door. 270 Degree Views Of The City From 2 Terraces. Two Parking Spots And One Locker. A Mid-Town Gem Of A Suite In Toronto!!
Stainless Steel Appliances: Fridge, Wine Fridge, Stove, Microwave, Hood. B/In Dishwasher. Front Load Washer And Dryer. Custom Light Fixtures, Pot Lights, And All Blinds. 2 Parking Spots, One Locker."
C4795282,Unit 904 - 61 St Clair Ave W,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,800,000","$1,751,546",As of 2020-09-11,2 Bedrooms,2 Bathrooms,1 Garage,"$ 4,810",$1244/month,"water,hydro,heat",-,2020-06-16,2020-09-10,"$3,527",1.14%,St. Clair Ave W And Yonge,Apartment,N,"Contemporary Elegance In Sought After Granite Place. Renovated Spacious 2 Br, 2 Bath Suite. Exceptional Design New Engineered Hdwd Flr. Fabulous Kitchen + Master Bathroom. Caesar Stone Counter Top, Slate Flr In Bthrms W/Top Of The Line Hardware, 3 Walk-Outs To Large N/W Balcony, Ensuite Laundry, 1 Parking + Lrg Locker Incl.This Vibrant Area Offers Fabulous Amenities, Steps To Yonge & St Clair, Parks, Shops, Restaurants, Ttc, School, Longos + Lcbo Next Door
Top Of The Line Samsung Appliances: S/S Dbl Dr Fridge, S/S Glass Top Stove, S/S Dishwasher, S/S Microwave, Washer, Dryer All Window Coverings, Elfs, New A/C + Thermostats. Exl: Dining Rm Fixture, Bar And Glass Shelving In Living Rm."
C4904771,Unit 301 - 40 Oaklands Ave,Yonge-St. Clair - Toronto,Condo Apt,"$ 1,895,000","$1,798,008",As of 2020-09-12,1+1 Bedrooms,3 Bathrooms,2 Garage,"$ 6,405",$2398/month,water,31-50,2020-09-09,2020-09-11,"$2,308",-0.51%,Oaklands Avenue,2-Storey,Sw,"Welcome To Suite 301 At The Oaklands! This Sophisticated 2,315Sqft Southwest Corner Suite Is Truly One Of A Kind. The Upper Level Boasts An Elegant Living Room With Sleek, Architectural Custom Built-Ins, Floor To Ceiling Windows Featuring A South-Facing View, And A Wood-Burning Fireplace. The Main Level Features A Grand Dining Room And Light-Filled Eat-In Kitchen And An 800 Square Foot South-Facing Private Terrace.
The Tasteful Master Suite Features A Walk-Through Closet, Floor-To-Ceiling Windows With A Walkout To A Second South-Facing Balcony, And A Four Piece Ensuite. The Enclosed Den Provides A Welcoming Family Room Or A Convenient Home Office."
C4865600,Unit 909 - 575 Bloor St E,North St. James Town - Toronto,Condo Apt,"$ 780,000","$744,878",As of 2020-08-11,1+1 Bedrooms,2 Bathrooms,1 Garage,$ -,-,water,New,2020-08-11,2020-08-11,"$2,973",4.56%,Bloor - Parliament,Apartment,W,"Location! Location! Location! Assignment Sale At Luxurious Via Bloor By Renowned Builder Tridel! Spacious 1+1 Br Unit With West Exposure! One Parking Included! 2 Full Baths! Laminate Fl, Premium Porcelain Fl Tile In Bathrooms. Chef-Style Kitchen W/ Undermount Sink, 2 Min Drive To Dvp, Few Steps To Castle Frank And Sherbourne Subway, 15-Minute Walk To Yonge/Bloor, Few Mins Away From U Of T And Ryerson!
One Parking Included! S/S Stove, Fridge, Microwave/Hood Combo, Dishwasher. Washer & Dryer. Outdoor Swimming Pool, Spa Lounge, Fitness Centre, Theatre Room, Games Room, Yoga Studio. Tridel Connect Smart Home Technology"
C4884477,Unit 902 - 120 Homewood Ave,North St. James Town - Toronto,Condo Apt,"$ 609,900","$658,737",As of 2020-09-03,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,087",$391/month,water,11-15,2020-08-25,2020-09-03,"$2,292",2.93%,Jarvis And Wellesley,Apartment,N,"Tridel Leeds Certified Building. Great Layout One Bedroom + Den Suite In Luxury Verve Community. 24 Hrs Concierge, Roof Top Pool, Cabanas, Sauna, Party Rooms, Theatre, Gym, Yoga Room, Billiards, Visitor Pkg And Much More. Steps From Ttc, Subway (Sherbourne/ Wellesley), Grocers, Coffee Shops, Restaurants And More.
Refrigerator, Stove, Microwave, Dishwasher, Washer And Dryer, All Electrical Light Fixtures, All Window Coverings."
C4886131,Unit 3208 - 120 Homewood Ave,North St. James Town - Toronto,Condo Apt,"$ 599,900","$614,461",As of 2020-09-04,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,413",$438/month,11-15,600-699 feet²,2020-08-26,2020-09-04,"$2,200",2.81%,Wellseley / Sherbourne,Multi-Level,S,"Welcome To The Popular, ""The Verve"". Open Concept Layout With 9' Ceilings & Incredible South Facing Views, Creating A Wow Factor As Seen In The Photos. Won't Disappoint. Great Den Used As An Office/Bedroom; Amenities Near Walking Distance, Transit Outside Your Front Door.
All Furniture Negotiable. One Of Few Limited Units That Has The Larger Balcony!!!"
