Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Date_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4903431,Unit 1005 - 281 Mutual St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 589,000","$580,257",2020-09-09,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,057","Condo Apt, Apartment",$507/month,-,500-599 feet²,Apartment,water,33 days,22 day(s),2020-09-09,2020-09-09,"$2,150",2.77%,Jarvis & Carlton,,Nw,Toronto,Gorgeous 1 Bedroom Corner Unit With No Wasted Space! Bright And Spacious Layout In Award Winning Radio City Condos! Spacious & Modern Loft-Style Design With High Ceilings & Wrap Around Floor-Toceiling Windows Offers Plenty Of Natural Light With Unobstructed Views! Enjoy This Exceptional Unit In A Fantastic Downtown Location.
C4921660,Unit 4209 - 70 Carlton St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 699,990","$679,471",2020-09-24,,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,000","Condo Apt, Apartment",$361/month,-,600-699 feet²,None,heat,21 days,22 day(s),2020-09-21,2020-09-23,"$2,178",2.68%,Carlton/Church,,E,Toronto,"Brand New Downtown Property! This 1Br+1Den Sun-Filled, High Rise Unit Comes With Contemporary Design Kitchen, Stainless Steel Under Mount Sink, Valance Lighting, Smooth Finished Ceilings And Much More! Close To Ryerson University, Uoft, Ttc, Restaurants, Stores, Etc."
C4907891,Unit 702 - 28 Ted Rogers Way,Church-Yonge Corridor - Toronto,Condo Apt,"$ 738,000","$734,785",2020-09-11,,2 Bedrooms,1 Bathrooms,1 Garage,"$ 2,777","Condo Apt, Apartment",$635/month,6-10,700-799 feet²,None,"water,heat",31 days,22 day(s),2020-09-11,2020-09-11,"$2,716",2.75%,Bloor/Ted Rogers,"Car Wash, Concierge, Gym, Sauna, Visitor Parking",Se,Toronto,"Bright,Spacious 2 Bedroom Condo In The Heart Of The City!Floor-To-Ceiling Windows With Hardwood Throughout,Open Living/Dining Room With Modern Kitchen. Well Maintained,.24 Hr Concierge,Free Visitor Parking.All Amenities.Steps To Subway/Public Transit & Bloor Street."
C4939496,Unit 409 - 42 Charles St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 768,888","$768,614",2020-10-10,,2 Bedrooms,1 Bathrooms,1 Garage,"$ 2,932","Condo Apt, Apartment",$441/month,0-5,600-699 feet²,None,"water,heat",9 days,23 day(s),2020-10-03,2020-10-04,"$2,560",2.67%,Yonge / Bloor,"Concierge, Gym, Lap Pool, Rooftop Deck/Garden, Security Guard",Se,Toronto,"Newer Luxury 2 Bedroom Unit-Casa 2, With Rare Parking Spot And Wrap Around Terrace! Unbeatable Urban Location: Steps To Yonge And Bloor, 2 Subway Lines, Bloor Street Shopping, Uoft, Yorkville, Restaurants And Grocery Stores!! Soaring 20Ft Lobby, State Of The Art Amenities Floor Including Fully Equipped Gym, Rooftop Lounge, And Outdoor Infinity Pool."
C4916325,Unit 913 - 7 Carlton St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 579,900","$606,648",2020-09-18,,2 Bedrooms,1 Bathrooms,0 Garage,"$ 2,309","Condo Apt, Apartment",$712/month,-,700-799 feet²,None,"water,hydro,heat",25 days,22 day(s),2020-09-17,2020-09-18,"$2,492",2.84%,Yonge And Carlton,"Security Guard, Recreation Room, Exercise Room, Sauna",N,Toronto,"Presenting Unit 913 At Ellington Condos In College Park. Spacious 783 Sqft 2 Bedroom Condo In The Heart Of The City. Located At Yonge And Carlton, This Condo Is Close To Universities, Dundas Square, Iconic Restaurants And Shopping. Brand New Laminate Flooring Throughout. Large Living Space With Separate Dining Area. Kitchen With Built-In Appliances And Tons Of Cabinets. Master With Walk-In Closet, 4Pc Bath. Tons Of Natural Light In This Condo."
C4918697,Unit 3809 - 251 Jarvis St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 679,000","$653,405",2020-10-11,,2 Bedrooms,1 Bathrooms,1 Garage,"$ 1,859","Condo Apt, Apartment",$520/month,New,500-599 feet²,None,heat,24 days,23 day(s),2020-09-18,2020-10-06,"$2,266",2.66%,Dundas And Jarvis,"Concierge, Exercise Room, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",N,Toronto,"Wow, What A View From This Brand New 2 Bedroom Suite In The Heart Of Downtown. Primary Bedroom Has A Large Window With White Dim-Out Blinds And Double Door Closet In Both Bedrooms. Upgrades Include Charcoal Flooring Throughout, Back-Painted Glass Back-Splash, Bathroom Tiles And Window Blinds & Kitchen Cabinetry & Stone Counters. Lovely Balcony. Short Walk To Ryerson, Eaton Center, Transit, Theaters, Shopping And Restaurants. Parking And Locker Included."
C4909976,Unit 802 - 220 Victoria St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 685,000","$709,397",2020-09-29,,1+2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,522","Condo Apt, Apartment",$721/month,-,700-799 feet²,None,"water,hydro,heat",30 days,22 day(s),2020-09-12,2020-09-29,"$2,755",2.8%,Yonge And Dundas St,"Concierge, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Security System",E,Toronto,"1 Parking, 2 Full Baths, 2 Dens (One Den Has Sliding Door & Can Be A Bedroom), 2 Lockers (On 8/F And 7 F). Enjoy The Cosmopolitan Luxury At Downtown's Most Desirable, Convenient Location. Steps To Eaton Centre, Dundas Square, Ryerson University, Hospitals, Subway & Underground Path. Close To Financial District, Dining, Entertainment & All Amenities. Walk Score 100. Spacious, Clean & Tidy. Move In Condition."
C4832421,Unit 501 - 45 Charles St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 749,500","$759,976",2020-08-08,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,967","Condo Apt, Apartment",$476/month,0-5,600-699 feet²,None,"water,heat",89 days,21 day(s),2020-07-15,2020-08-08,"$2,671",2.83%,Yonge St. & Bloor St.,"Concierge, Gym, Party/Meeting Room, Recreation Room",S,Toronto,"Luxury Condo One Bedroom Suite W/2Lockers At Chaz Yorkville Located At Bloor/Yonge, Total 662 Sqft. Steps To Ttc, Yorkville, Eaton Centre And The City's Best Dining / Entertainment. The Building Features Chaz Club On The 36th & 37th Floor With Incredible Downtown Skyline And Lake Views, 9 Ft Ceiling, Floor To Ceiling Windows, Designer Kitchen With Built-In Appliances."
C4816111,Unit 1201 - 35 Hayden St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 830,000","$809,922",2020-07-30,,1+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,981","Condo Apt, Apartment",$596/month,6-10,700-799 feet²,None,"water,heat",101 days,22 day(s),2020-07-03,2020-07-30,"$2,852",2.72%,Yonge/Bloor,"Concierge, Exercise Room, Guest Suites, Gym, Indoor Pool, Party/Meeting Room",S,Toronto,"Luxury Living At Yonge And Bloor! Spacious & Stunning 1 Bedroom + Den With 2 Bathrooms! Thoughtfully Designed Interiors Including 9Ft Ceilings, Pre-Engineered Hardwoods Floors, Gorgeous South City Views! Steps To Yorkville With Ttc At Your Door + Shops, Restaurants, Boutiques, Cafes. Resort Style Amenities With 24 Hr Concierge, Indoor Pool, Whirlpool, Gym, Bbq, Billiards, Guest Suites, Party Room & More!"
C4936744,Unit 1608 - 85 Bloor St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 595,000","$604,826",2020-10-09,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,369","Condo Apt, Apartment",$506/month,11-15,600-699 feet²,None,"water,hydro,heat",11 days,23 day(s),2020-10-01,2020-10-01,"$2,175",2.64%,Yonge & Bloor,"Bike Storage, Concierge, Games Room, Gym, Party/Meeting Room, Rooftop Deck/Garden",W,Toronto,"Spacious 1 Bedroom 1 Den Condo At Elegant 85 Bloor East. 9 Ft Ceiling, Great Layout, Ample Closets. Just Steps To The Yonge/Bloor Subway Lines, Trendy Yorkville, Upscale Designer Shops On Bloor Incl Hudson's Bay, Holt Renfrew & Many Renowned Designer Labels, Gourmet Restaurants, Royal Ontario Museum, Cafes, Supermarket. Easy Access To Financial District, Hospitals, Universities. Approx 607 Sq Ft + Balcony."
C4886986,Unit 808 - 50 Wellesley St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 919,000","$905,136",2020-09-04,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,150","Condo Apt, Apartment",$420/month,-,700-799 feet²,None,heat,50 days,22 day(s),2020-08-23,2020-09-04,"$2,850",2.64%,Yonge / Wellesley St E,,Se,Toronto,"Beautiful Brand New 2 Bdrm+ 2Bath Se Corner Suite Located At Yonge/Wellesley, Bright And Spacious, Large Balcony W/Unobstructed South Cn Tower And East Lake View And A Sun-Filled Living Room. Steps To Subway Station, Public Transit, Ryerson & Toronto University! Steps To Shopping Center, Restaurants, Movie Theaters. Super Location Close To Everything. One Parking Included."
C4900125,Unit 322 - 1 Bloor St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 869,900","$876,858",2020-09-27,,2 Bedrooms,2 Bathrooms,0 Garage,"$ 3,742","Condo Apt, Apartment",$574/month,0-5,700-799 feet²,None,"water,heat",37 days,22 day(s),2020-09-05,2020-09-27,"$3,000",2.64%,Yonge & Bloor,"Concierge, Exercise Room, Indoor Pool, Outdoor Pool, Party/Meeting Room, Sauna",N,Toronto,"Just $1,096 Per Sf At This Award-Winning Great Gulf Homes ""One Bloor"". 793 Sq Ft Features 2 Bedrooms + 2 Baths + Locker. Sought After Iconic Address. Aesthetic Design Skyscraper Above The Subway Access. Natural Wood Tones Kitchen With B/I Island & Corian Table. Resort Style Amenities: Yoga/Aerobics Centre, Indoor & Heated Outdoor Pool, Steam Room, Spa, Etc. **Lowest Asking Price For 2-Bedrooms+2 Bathrooms In The Building. Great Value!"
C4911930,Unit 1705 - 85 Bloor St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 825,000","$834,936",2020-09-15,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,100","Condo Apt, Apartment",$790/month,-,800-899 feet²,None,"water,hydro,heat",30 days,22 day(s),2020-09-12,2020-09-14,"$3,075",2.64%,Yonge / Bloor,"Concierge, Gym, Media Room, Recreation Room, Rooftop Deck/Garden, Security Guard",Ne,Toronto,"*Lux Condo In Yonge/Bloor Area Next To Bloor Subway Station *Steps To Supermarket, Banks, Restaurants, Cinema & Yorkville Shops *Stunning 2 Bedrm + 2 Full Bathrm Ne Corner Suite Of 800 Sq.Ft. *9' Ceiling *Breathtaking Panoramic Rosedale Ravine View *Totally Renovated W/ Tons Of Upgrades *New Wood & Porcelain Floor, European Kitchen Cabinets, S/S Appl, Bathroom W/ Contemporary Tiles, Cabinets & Faucets, Light Fixtures, Zebra Roller Shades *1 Pkg 1 Locker Incl"
C4922457,Unit 301 - 30 Hayden St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 499,999","$508,760",2020-09-22,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,900","Condo Apt, Apartment",$552/month,16-30,600-699 feet²,None,"water,heat",20 days,22 day(s),2020-09-22,2020-09-22,"$1,948",2.64%,"Yonge & Bloor St.,E.","Exercise Room, Gym, Recreation Room, Security System",N,Toronto,An Investor's Dream And Everything Else In Between! Rarely Offered Charming One Bedroom Condo In The Heart Of Yorkville. All This Unit Needs Is A Little Tlc And You Will Own In The Most Desirable Area In Toronto! Where Else Can You Buy A Condo For Well Under $1000 Per Square Foot? Perfect For The First Time Home Buyer Or Investor. Own Your Little Slice Of Heaven. Don't Miss Out On This One!
C4926886,Unit 310 - 50 Wellesley St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 790,000","$772,652",2020-09-24,,1+1 Bedrooms,1 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$386/month,New,600-699 feet²,None,,18 days,22 day(s),2020-09-24,2020-09-24,"$2,213",2.63%,Yonge/Wellesley,"Games Room, Guest Suites, Gym, Outdoor Pool, Party/Meeting Room, Security Guard",S,Toronto,"Final Release From Plaza - Premium Penthouse Collection. Located At The Very Center Of What Makes Toronto Great. Positioned In A Well-Established Community. Surrounded By Eclectic Shops, Fabulous Food Choices, Restaurants Galore, Bar, Dance Clubs, Theaters, Arts And Culture. Excellent Access To Major Universities, Colleges And Hospital Network. Steps From The Wellesley Subway Station. A Walk Score Of 99 And A Transit Score Of 98."
C4899980,Unit 3506 - 28 Ted Rogers Way,Church-Yonge Corridor - Toronto,Condo Apt,"$ 656,800","$652,215",2020-09-05,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,321","Condo Apt, Apartment",$505/month,-,600-699 feet²,None,"water,heat",37 days,22 day(s),2020-09-05,2020-09-05,"$2,300",2.69%,Ted Rogers/Bloor,"Concierge, Exercise Room, Games Room, Gym, Indoor Pool, Party/Meeting Room",W,Toronto,"Gorgeous Well Maintained Unit Inside The Excellentlly Finished Couture Condominium, Gorgeous West View, Minutes From Yorkville And All The Fine Dining The City Has To Offer, Live In The City In This Quiet Neighborhood, With Minutes Walk From The Subway And Yonge Street, Excellent Ammenties Including Full Gym, Media Room And Whirlpool. Functional Floor Plan, 9' Ceiling, Stainless Steel Appliances And Granite Counter Tops In The Kitchen"
C4818916,Unit 1103 - 285 Mutual St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 589,000","$573,407",2020-09-04,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,993","Condo Apt, Apartment",$475/month,-,500-599 feet²,None,water,98 days,22 day(s),2020-07-06,2020-09-04,"$2,045",2.68%,Jarvis/Wellesley,"Concierge, Guest Suites, Gym, Party/Meeting Room, Sauna, Visitor Parking",N,Toronto,"Radio City Condominium! Great One Bedroom Open Concept - Walk Out From Living Room,To Cedar Laid Floor On The Balcony; Unobstructed City Views! Loads Of Natural Light Coming In, From Floor To Ceiling Windows Combined With 9 Foot Ceilings! 4 Pc Bath Upgraded Pot Lights! Stunning Neutral Decor, Combined With Natural Stone (Grey Tones) Kitchen Counter Tops And Under Mounted S/S Sink With Ceramic Subway Tile Backsplash. A-1 Downtown Location!"
C4841512,Unit 1705 - 68 Shuter St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 799,000","$817,683",2020-07-23,,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 3,202","Condo Apt, Apartment",$655/month,0-5,700-799 feet²,None,"water,heat",81 days,22 day(s),2020-07-23,2020-07-23,"$2,950",2.71%,Yonge / Queen,"Concierge, Exercise Room, Media Room, Party/Meeting Room",Sw,Toronto,"Location! Location! Location! In The Heart Of Yonge And Church St, Bright And Spacious Corner Unit With Open Balcony. Steps To Subway, Eaton Centre, Dundas Square And Ryerson Univ. Close To George Brown And Financial District. Located At The North Side Of New Condo Site, 88 Queens. Great Amenities: Gym, Party Room, Outdoor Patio, Etc."
C4836378,Unit 702 - 50 Lombard St,Church-Yonge Corridor - Toronto,Condo Apt,"$ 979,900","$994,893",2020-07-24,,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,662","Condo Apt, Apartment",$1564/month,16-30,1200-1399 feet²,None,"water,heat",86 days,22 day(s),2020-07-18,2020-07-24,"$3,597",1.92%,Church & Adelaide,"Concierge, Exercise Room, Guest Suites, Recreation Room, Rooftop Deck/Garden, Visitor Parking",Se,Toronto,"Impressive 1292 Sq.Ft Corner Unit With Se Views, 2 Plus Beds & 2 Baths, In The Heart Of Downtown! Featuring; Large Balcony W/ 3 Walkouts, Hardwood Floors, Open Concept Design W/ Functional Layout, S/S Appliances, Ensuite Laundry & More! The Building Offers Newly Reno'd Top Notch Amenities And Is Just Steps To Subway, St. Lawrence Market, The Path, Shops, Hw Access And Much More!!! Very Rare To Find A Unit Of This Size At This Price! Definitely A Must See!"
C4940599,Unit 404 - 385 Brunswick Ave,Annex - Toronto,Condo Apt,"$ 1,188,000","$1,201,603",2020-10-11,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 5,469","Condo Apt, Apartment",$1326/month,-,1000-1199 feet²,None,water,7 days,28 day(s),2020-10-05,2020-10-10,"$2,744",0.75%,Bloor /Spadina/Lowther,"Bbqs Allowed, Concierge, Exercise Room, Rooftop Deck/Garden, Visitor Parking",S,Toronto,"Rarely Offered Luxury Unit In Boutique Annex Heritage Building ""The Loretto."" This South Facing Elegant Space Features 11&1/2 Ceilings, Split Plan For Max Privacy, Beautiful Light, Walk Out South Facing Balcony &Cn Tower View. Hardwood Floors, Tall Doors & High Quality Finishings Throughout. Prestigious Neighbourhood. A Short Walk To The Best In Yorkville/Annex: The Rom, Koerner Hall, Uft And Ttc, Shopping, Queens Park & Uhn. A Must See."
C4923188,Unit 304 - 18 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 599,900","$625,414",2020-10-10,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,391","Condo Apt, Apartment",$365/month,-,0-499 feet²,None,"water,heat",20 days,28 day(s),2020-09-22,2020-10-04,"$1,850",2.19%,Yonge / Yorkville,"Concierge, Games Room, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",S,Toronto,"Priced To Sell! 1 Br Unit Located In The Heart Of Toronto's Most Prestigious & Vibrant Neighborhood Of Yorkville. Exposed Concrete Ceilings, Laminate Floors, Large Floor To Ceiling Windows, Designer Kitchen W Granite Counter Tops & Stainless Steel Appliances. Spa-Like Bathroom W Porcelain Tiles, Glass Shower Doors & More! Steps To Luxury Flagship Stores, Rom, U Of T, Subway, Restaurants & All Other Essential Amenities!"
C4916109,Unit 312 - 88 Cumberland St,Annex - Toronto,Condo Apt,"$ 879,900","$863,625",2020-09-17,,1+1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$478/month,New,700-799 feet²,"None, Other",heat,25 days,27 day(s),2020-09-17,2020-09-17,"$2,194",2.16%,Bellair & Cumberland,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room, Recreation Room, Rooftop Deck/Garden",S,Toronto,"Minto Yorkville Park Is The Highly Anticipated, Premier Luxury Condominium Coming To The Most Prestigious Neighbourhood In Toronto. Perched Upon A 2-Storey Limestone Podium Is A 25-Storey Curved Glass Tower Housing 200 Luxury Residences. Interiors Were Designed To Be Intimate & Luxurious With An Art Deco Style, Featuring Wide-Plank Hardwood Flooring, Caesarstone Countertops, Porcelain Tiling, Built-In Closets & Upgraded Ceiling-Mounted Rainfall Shower Heads."
C4940552,Unit 303 - 8 Scollard St,Annex - Toronto,Condo Apt,"$ 658,000","$691,437",2020-10-10,,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 3,106","Condo Apt, Apartment",$664/month,-,700-799 feet²,None,"water,heat",7 days,28 day(s),2020-10-05,2020-10-05,"$2,346",2.15%,Yonge & Yorkville,"Concierge, Guest Suites, Gym, Party/Meeting Room",Ne,Toronto,"Prime Yorkville Sunfilled Corner 1 Bedrm +Den 723 Sf. Rarely Offered Parking & Locker. Pristine Open Concept Layout, Den Can Be Used As Bedrm & Mstr. W/I Closet & Semi-Ensuite. Laminate Thru-Out, Breakfast Bar, Ss Appliances, Good Sized Balcony, Steps To Four Seasons Hotel, Transit, Yorkville Lifestyle!"
C4916650,Unit 820 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 649,000","$676,883",2020-10-09,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 3,541","Condo Apt, Apartment",$560/month,-,500-599 feet²,Other,"water,heat",25 days,29 day(s),2020-09-17,2020-10-01,"$2,246",2.15%,Avenue Road And Bloor,,N,Toronto,"Amazing Unit For Sale In The Old Four Seasons Tower, The New Residences Of Yorkville Plaza! Right In The Heart Of Yorkville, This Unit Has Been Tastefully And Luxuriously Designed. One Bedroom Enclosed By Two Sleek Sliding Glass Doors, A Compact And Functional Kitchen With A Beautiful North View And An Extra Den Perfect For An Office, Nursery Or Just Extra Space. Please Exercise Sanitary Precaution Before, After And During Your Visit."
C4939957,Unit 1812 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 562,000","$609,139",2020-10-10,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,699","Condo Apt, Apartment",$417/month,-,0-499 feet²,None,"water,heat",8 days,28 day(s),2020-10-04,2020-10-07,"$1,871",2.13%,Yorkville Ave/Avenue Rd,,Sw,Toronto,"One Bedroom Condo In The Heart Of Toronto's Downtown Chic Bloor/Yorkville Neighborhood. This Unit Is Move-In Ready From Top To Bottom (Furniture Included). Steps To The Finest Restaurants,Shops,Galleries And Museums, U Of T,Public Transport At Your Doorstep."
C4918527,Unit 1208 - 32 Davenport Rd,Annex - Toronto,Condo Apt,"$ 958,000","$968,989",2020-10-09,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 4,570","Condo Apt, Apartment",$710/month,0-5,800-899 feet²,None,"water,heat",24 days,29 day(s),2020-09-18,2020-10-02,"$3,050",2.12%,Yonge & Davenport,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",Sw,Toronto,"In The Heart Of Prestigious Yorkville, Open Concept Floor To Ceiling Windows. Desired Corner Unit With Unobstructed Southwest View. Open Balcony With Split Two Bedroom Layout, Two Bathroom, Modern Kitchen, Integrated Miele Appliances, Centre Island. Hardwood Floors Throughout. One Parking & One Locker Included. Steps To Fine Boutiques, Restaurants/Lounges And Public Transit."
C4922159,Unit 502 - 128 Hazelton Ave,Annex - Toronto,Condo Apt,"$ 7,350,000","$6,478,311",2020-09-22,,3+1 Bedrooms,4 Bathrooms,2 Garage,"$ 3,862","Condo Apt, Multi-Level",-,-,3250-3499 feet²,None,"water,heat",21 days,27 day(s),2020-09-21,2020-09-21,"$12,669",2.11%,Hazelton Ave/Davenport Rd.,,Se,Toronto,"Welcome To The Private Residences Of 128 Hazelton Avenue: A Collection Of Only 17 Residences In Yorkville's Most Sought-After Boutique Address! Unobstructed Views To The South And North. This Custom Designed 3 Bedroom Plus Office/Den Comes Complete With Family Room, Dining Room, Living Room And Laundry Room."
C4902228,Unit 1703 - 88 Cumberland St,Annex - Toronto,Condo Apt,"$ 1,075,000","$998,987",2020-09-19,,2 Bedrooms,2 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$523/month,New,700-799 feet²,None,heat,34 days,27 day(s),2020-09-08,2020-09-19,"$2,438",2.08%,Cumberland & Bellair,"Concierge, Guest Suites, Gym, Party/Meeting Room, Recreation Room, Rooftop Deck/Garden",W,Toronto,"Minto Yorkville Park Is Located At Cumberland & Bellair-The Heart Of Yorkville, Surrounded By Some Of North America's Most Exclusive World Renowned Retail Brands/The Finest Dining/Bistros/5-Star Hotels/Salons/Spas/Intimate Galleries/Boutiques/World Class Museums/Mature Treed Parks. Just Steps Away From Bay Subway. This Luxury Condo Has Two Bedrooms With Two Full Washrooms. Beautiful Unobstructed West Views."
C4937679,Unit 912 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 569,000","$630,250",2020-10-09,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,538","Condo Apt, Apartment",$416/month,-,0-499 feet²,None,"water,heat",10 days,29 day(s),2020-10-02,2020-10-08,"$1,871",2.08%,Yorkville Ave/Avenue Rd,,Sw,Toronto,"Your Search Ends Here! Previously The Prestige Four Seasons Hotel, Locates At The Heart Of Avenue And Yorkville. Surrounded By Toronto's Best Shopping Centers And Five Star Restaurants, Cafes, Boutiques. Walk Score 100. Mins From Ttc And Uoft. Gorgeous Layout, Spectacular Condition! Open Concept, Laminate Floor. Great Condo Amenities Including Party Room, Gym, Guest Suite, 24Hrs Security. Move-In Ready Condition."
C4879211,Unit 315 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 649,900","$639,980",2020-08-20,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,701","Condo Apt, Apartment",$436/month,-,0-499 feet²,None,"water,heat",53 days,33 day(s),2020-08-20,2020-08-20,"$1,913",2.02%,Avenue Rd / Yorkville Ave,,W,Toronto,"*Iconic Yorkville Plaza (Formerly Known As The Four Seasons Hotel)*Gorgeous Upscale Modern Design 1 Bedroom Unit In One Of Toronto's Most Prestigious Neighborhoods*One Of The Only Units In The Building With A Walkout Balcony*Laundry Ensuite And Designer Cabinetry With Fully Integrated Appliances*Beautiful Modern Plank Laminate And Unobstructed View*Walk Score Of 99, Steps From Fine Dining & Shopping, Ttc, 2 Subway Lines, Close To Rom And U Of T."
C4936688,Unit 2208 - 32 Davenport Rd,Annex - Toronto,Condo Apt,"$ 949,900","$1,015,875",2020-10-09,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 4,570","Condo Apt, Apartment",$710/month,-,800-899 feet²,None,"water,heat",11 days,29 day(s),2020-10-01,2020-10-01,"$3,050",2.02%,Yonge St & Davenport,,Sw,Toronto,"Views For Days!! Rarely Available Corner Unit With Unobstructed S/W Views From Every Room! This Two Bedroom Suite Offers Open Concept Living, Miele Appliances, Kitchen Island, Custom Blinds Throughout, Parking & Locker. The Perfect Location! Leave The Car And Walk To Everything Yorkville Has To Offer-Shopping, Restaurants & Bars Or Stay Home And Watch The Sunset From Your West Facing Balcony. Very Well Maintained And Managed Building With All The Amenities."
C4863351,Unit 1510 - 200 Bloor St W,Annex - Toronto,Condo Apt,"$ 729,000","$732,028",2020-08-20,,1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 3,790","Condo Apt, Apartment",$780/month,0-5,700-799 feet²,None,"water,heat",64 days,33 day(s),2020-08-09,2020-08-20,"$2,600",2.08%,Bloor /Avenue,"Concierge, Exercise Room, Recreation Room, Visitor Parking",Nw,Toronto,"Sensational Corner Suite At Exhibit Residences In The Heart Of Yorkville. Artfully Contrasting With Royal Ontario Museum Across The Street. Soaring 9' Ceilings With Beautiful Open Concept Design, Floor To Ceiling Windows With Nw Views. Engineered Wood Floor Throughout.Two Floors Of Great Amenities Incl Fitness Gallery, Yoga Studio & A Cool Down Lounge. 24Hr Concierge. Steps To Yorkville & Bloor Shoppings, U Of T, Fine Restaurants, Subway And Much More!"
C4814632,Unit 1517 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 729,000","$692,309",2020-09-10,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 3,792","Condo Apt, Apartment",$627/month,0-5,600-699 feet²,None,"water,heat",102 days,28 day(s),2020-07-02,2020-09-09,"$2,270",1.99%,Yorkville Ave/Avenue Rd,"Concierge, Guest Suites, Gym, Party/Meeting Room, Rooftop Deck/Garden, Security Guard",W,Toronto,"Yorkville Plaza In The Heart Of Yorkville. Five-Star Building With Grand Lobby & A Grand Entrance! 610 Sqf 1 Br + Den **One Locker Included On The Same Floor**Luxury Condo At Prestigious Avenue & Yorkville. Wonderfull Design And Finishes, Stone Counter And Built-In Appliances. Large Window, Magnificent City Views. Steps To Dining District, Shopping, Park, Library, Ttc, 2 Subway Lines, Close To Rom, U Of T, Yorkville Village Mall, Office Towers, Ect"
C4934598,Unit 1605 - 40 Scollard St,Annex - Toronto,Condo Apt,"$ 585,000","$606,686",2020-10-01,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,269","Condo Apt, Apartment",$642/month,-,600-699 feet²,None,"water,hydro,heat",12 days,27 day(s),2020-09-30,2020-10-09,"$1,983",1.98%,Yonge St & Davenport Rd,"Bike Storage, Concierge, Exercise Room, Party/Meeting Room, Sauna",N,Toronto,"Amazing Opportunity To Own In The Always Sought After Yorkville Neighborhood. Gorgeous Top Floor Penthouse Suite Featuring One Bedroom + Den With Well-Appointed Living Space. Unobstructed North View. Floor To Ceiling Windows. The Den Is Ideal As An Office. Master Bedroom Is Fixed With Custom Window Blinds & Double Closet. Solarium Has Potential To Serve As 2nd Bedroom. Steps Away From Restaurants, Transit And World Class Shopping At It's Finest."
