Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Date_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4888155,Unit 3506 - 426 University Ave,Bay Street Corridor - Toronto,Condo Apt,"$ 618,000","$628,391",2020-09-11,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,111","Condo Apt, Apartment",$378/month,6-10,500-599 feet²,None,"water,heat",46 days,21 day(s),2020-08-27,2020-09-11,"$2,050",2.63%,University And Dundas,"Concierge, Exercise Room, Guest Suites, Gym, Security Guard",S,Toronto,"Welcome To Rcmi, A Prestigious Urban Condominium Living, 9' Ceilings, Next To Subway, Walk To Toronto General, Sick Kids, Mount Sinai & Queens Park, Queen Street Shopping And Restaurants. Minutes To Financial & Entertainment Districts. 24 Hour Concierge, Elegant Lobby, Fully Equipped Fitness Room. Efficient & Green Features. Low Maintenace Fee, Extra Large Balcony, Great View Of City Hall And Cn Tower Large Windows With Lots Of Natural Light."
C4937273,Unit 704 - 55 Centre Ave,Bay Street Corridor - Toronto,Condo Apt,"$ 435,000","$463,110",2020-10-09,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,700","Condo Apt, Apartment",$583/month,31-50,500-599 feet²,None,"water,heat",10 days,23 day(s),2020-10-02,2020-10-07,"$2,054",3.1%,Dundas St W/University Ave,"Concierge, Security Guard, Visitor Parking",Sw,Toronto,"*Demand Location In Heart Of Downton Core* Open Concept Bright & Spacious About 600 Sqft* Freshly Painted And Brand New Laminate Floors* One Bedroom + Solarium And One Parking* Walk To University, Subway, Eaton Centre, Uoft, Ryerson, O.C.A.D, Hospitals, Chinatown, Famous Yonge St & Much More!!* Walk Score 100*"
C4942651,Unit 3004 - 1 King St W,Bay Street Corridor - Toronto,Condo Apt,"$ 649,900","$641,329",2020-10-11,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,147","Condo Apt, Apartment",$861/month,-,500-599 feet²,None,"water,hydro,heat",6 days,23 day(s),2020-10-06,2020-10-06,"$3,042",3.38%,King & Yonge,,E,Toronto,"Welcome To The Elegant, Historical & Luxurious ""1 King West Hotel & Residence"". Located In The Heart Of The Financial/Entertainment District. Rarely Offered 1 Bed With Valet Parking Spot. Stunning East Facing Views Of The Water And Up Yonge Street. Direct Underground Access To The Pathway & Subway. Upgraded Engineered Hardwood Flooring & Freshly Painted. Great Investment Opportunity For An Executive, Couple Or Pied-E-Tierre. Don't Miss Out."
C4913979,Unit 401 - 633 Bay St,Bay Street Corridor - Toronto,Condo Apt,"$ 599,000","$649,444",2020-09-23,,2 Bedrooms,2 Bathrooms,0 Garage,"$ 2,597","Condo Apt, Apartment",$721/month,31-50,900-999 feet²,None,"water,hydro,heat",27 days,23 day(s),2020-09-15,2020-09-22,"$2,928",3.33%,Bay And Dundas,"Exercise Room, Indoor Pool, Rooftop Deck/Garden, Sauna, Security System",N,Toronto,"Beautifully Renovated Apartment At Horizon On Bay. Large 2 Bed + 1.5 Bath ~ 934 Sqft Floorplan. New Kitchen With Mosaic Backsplash And Quartz Counters. 2nd Bedroom Makes A Wonderful Office With Walkout To Balcony. Walker's Paradise, Short Distance To Ryerson, U Of T, Eaton Centre, Dundas St, Parks And Hospitals. Atrium On Bay Subway Across Across The Street. Low Maintenance Includes Hydro!"
C4919075,Unit Ph05 - 763 Bay St,Bay Street Corridor - Toronto,Condo Apt,"$ 2,299,900","$2,199,155",2020-09-18,,2 Bedrooms,3 Bathrooms,2 Garage,"$ 8,354","Condo Apt, Apartment",$1490/month,-,1800-1999 feet²,None,"water,hydro,heat",24 days,23 day(s),2020-09-18,2020-09-18,"$8,933",3.37%,Bay And College,,Sw,Toronto,"Distinguished Building, Private & Elegant. Coveted Location. South Facing Corner Ph Suite W/ An Incredible 180 Degree South East & West Panoramic Views And Amazing Floor Plan. This Spacious Suite Boasts 1900 Sq Ft Of Living Space Which Has Function And Flow With Large Principal Rooms With Abundance Of Natural Light.10 Ft Ceiling, Floor To Ceiling Windows. Family Room Could Be A 3rd Bedroom Or Office.2.5 Baths, Large Eat In Kitchen With All Stainless Steel"
C4945872,Unit 803 - 35 Balmuto St,Bay Street Corridor - Toronto,Condo Apt,"$ 569,900","$537,381",2020-10-12,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,243","Condo Apt, Apartment",$440/month,6-10,500-599 feet²,None,"water,heat",4 days,23 day(s),2020-10-08,2020-10-08,"$2,200",3.2%,Yonge/Bloor,"Concierge, Exercise Room, Party/Meeting Room, Sauna, Security System, Visitor Parking",N,Toronto,"Welcome To The Uptown Residences. Luxury State Of The Art Condo At Yonge & Bloor, Located Steps To Toronto's Finest Shops. Subway Stations (North/South, East & West), Entertainment & Much More. The Mansfield Model Offers An Open Concept Layout Of 495 Sq Ft. Plus A 25 Sq Ft. Open Balcony With An Unobstructed North View. 9 Foot Ceilings, Granite Counters, Hardwood Flooring & Upgraded Plumbing Fixtures. Priced To Sell . . ."
C4839911,Unit 4317 - 70 Temperance St,Bay Street Corridor - Toronto,Condo Apt,"$ 879,000","$870,105",2020-08-24,,2+1 Bedrooms,2 Bathrooms,0 Garage,"$ 3,448","Condo Apt, Apartment",$487/month,-,700-799 feet²,None,"water,heat",83 days,21 day(s),2020-07-21,2020-08-24,"$2,580",2.28%,Bay & Temperance,"Concierge, Games Room, Guest Suites, Gym, Party/Meeting Room, Rooftop Deck/Garden",N,Toronto,"Luxury Condo In The Core Of Financial District. Spacious 2 Br 2 Wr With A Study. 9' Ceiling With Floor To Ceiling Windows. Modern Kitchen Equips With Integrated Appliances And Wine Cooler. Fantastic Unobstructed City View Right Facing Nathan Philip Sq. Just Enjoy The Holiday Fireworks Sitting In Your Couch. Great Location With Walking In Mins To Almost Everything: City Hall, Eaton Center, Entertainment, Subway, Grocery, Theatre, Restaurants..."
C4896251,Unit Ph12 - 70 Temperance St,Bay Street Corridor - Toronto,Condo Apt,"$ 649,888","$681,149",2020-09-03,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,596","Condo Apt, Apartment",$259/month,0-5,0-499 feet²,None,"water,heat",40 days,21 day(s),2020-09-02,2020-09-02,"$1,846",2.23%,Bay / Richmond / Adelaide,,Sw,Toronto,"Rare Chance To Own An Affordable Penthouse In This 3 Years Young High Demand Indx Condo In The Heart Of Financial District. Outstanding View, Top Of The Line Finishes And Sunny Southwest Exposure With Amazing City And Lake Views And An Open Balcony !"
C4885655,Unit 2013 - 955 Bay St,Bay Street Corridor - Toronto,Condo Apt,"$ 1,188,000","$1,173,354",2020-09-11,,3 Bedrooms,2 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$610/month,-,800-899 feet²,None,heat,47 days,21 day(s),2020-08-26,2020-09-11,"$3,864",3.1%,Bay And Wellesley,,W,Toronto,"""The Britt"" Luxury Condo At Prime Downtown Location! Live In Magnificent British Hotel With Inspired Design That Brings History Into The Future! The 3 Bed With 2 Full Bath, Modern Kitchen With B/I Appliances. Perfect Walking Score . Steps To Shops, Dining & Entertainment, Mins To University Of Toronto And Ryerson University, Library, Subway Station, Supermarkets, Fine Restaurants, Bloor And Yorkville Luxury Shopping."
C4897986,Unit 914 - 386 Yonge St,Bay Street Corridor - Toronto,Condo Apt,"$ 729,900","$736,522",2020-09-04,,1 Bedrooms,2 Bathrooms,0 Garage,"$ 3,639","Condo Apt, Loft",-,11-15,600-699 feet²,None,"water,heat",39 days,21 day(s),2020-09-03,2020-09-03,"$2,400",3.19%,Gerrard St,,S,Toronto,"Stunning 1 Bed 1.5 Bath Loft In Aura Condos. All Amenities, Shopping,Entertainment At Your Doorstep. Upgraded Unit With Great View And One Parking."
